player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
263260,Mauro,10264,1896,SC Braga,SC Braga,Portugal,Portugal Liga ZON Sagres,2015/2016,1500000
625340,Mauro Arambarri,9827,59,Girondins de Bordeaux,Girondins de Bordeaux,France,France Ligue 1,2015/2016,1500000
301167,Mauro Caballero,9824,286,FC Vaduz,FC Vaduz,Switzerland,Switzerland Super League,2015/2016,200000
667953,Mauro Cerqueira,10214,1891,CD Nacional,CD Nacional,Portugal,Portugal Liga ZON Sagres,2015/2016,100000
113311,Mauro Dos Santos,8372,467,SD Eibar,SD Eibar,Spain,Spain LIGA BBVA,2015/2016,4000000
206711,Mauro Goicoechea,9941,1809,Toulouse FC,Toulouse FC,France,France Ligue 1,2015/2016,1000000
282770,Mauro Icardi,8636,44,Inter,Inter,Italy,Italy Serie A,2015/2016,40000000
18506,Mauro Zarate,8535,110374,Fiorentina,Fiorentina,Italy,Italy Serie A,2015/2016,3000000
209296,Mavroudis Bougaidis,8030,111091,Lechia Gdańsk,Lechia Gdańsk,Poland,Poland Ekstraklasa,2014/2015,300000
193178,Mawouna Amevor,6433,100632,Go Ahead Eagles,Go Ahead Eagles,Netherlands,Netherlands Eredivisie,2014/2015,200000
531014,Max Christiansen,8234,111239,FC Ingolstadt 04,FC Ingolstadt 04,Germany,Germany 1. Bundesliga,2015/2016,2500000
27376,Max Gruen,8721,175,VfL Wolfsburg,VfL Wolfsburg,Germany,Germany 1. Bundesliga,2014/2015,400000
58346,Max Kruse,8721,175,VfL Wolfsburg,VfL Wolfsburg,Germany,Germany 1. Bundesliga,2015/2016,8000000
425963,Max Meyer,10189,34,FC Schalke 04,FC Schalke 04,Germany,Germany 1. Bundesliga,2015/2016,16000000
46349,Max-Alain Gradel,8678,1943,Bournemouth,Bournemouth,England,England Premier League,2015/2016,9000000
33640,Maxi Lopez,9804,54,Torino,Torino,Italy,Italy Serie A,2015/2016,1000000
29587,Maxi Moralez,8524,39,Atalanta,Atalanta,Italy,Italy Serie A,2015/2016,3000000
38323,Maxime Annys,10001,681,KVC Westerlo,KVC Westerlo,Belgium,Belgium Jupiler League,2015/2016,400000
46645,Maxime Baca,9747,62,En Avant de Guingamp,En Avant de Guingamp,France,France Ligue 1,2015/2016,500000
179415,Maxime Barthelme,8689,217,FC Lorient,FC Lorient,France,France Ligue 1,2015/2016,1250000
156693,Maxime Chanot,8571,100081,KV Kortrijk,KV Kortrijk,Belgium,Belgium Jupiler League,2015/2016,1000000
210389,Maxime Colin,8635,229,RSC Anderlecht,RSC Anderlecht,Belgium,Belgium Jupiler League,2014/2015,1500000
520450,Maxime Dominguez,10243,894,FC Zürich,FC Zürich,Switzerland,Switzerland Super League,2015/2016,400000
